id,first,second,company_id,regulative_institution,route_number,route_regularity,drives_per_day,bus_comfort_level,bus_age,license_data,route_operator,number_of_buses
114,Умань,Вікнина,0,Укртрансбезпека ,19/20,щоденно,один ,"М2, М3, В, ІІ, ІІІ",,,,1+1
115,Донецьк,Луганськ,5529287860765031519,Укртрансбезпека ,21/22,Прямий та зворотній рейси виконуються Пон.Вівт.Сер.Чт.Пт.Суб.,один ,"М3, ІІІ",Починаючи з 2007 року,29.08.2010-28.08.2015,"ТОВ ""Авто-Експрес"", адреса: вул. Шевцової, 26, м.Волноваха, Донецька область, 85700, АЕ 572534",1+1
116,Могилів,Подільський,7428893816834157239,Укртрансбезпека ,21/22,щоденно,один ,"М3, ІІІ",Починаючи з 1988 року,26.03.2015-25.03.2020,"ТОВ ""Автотранспортно-торгівельна компанія ""Лайф"", адреса: Харківське шосе, буд. 152, кв. 220, м.Київ, 02121, АД 038403",2+1
117,Харків,Каховка,6900862929633226439,Укртрансбезпека ,21/22,щоденно,один ,"М3, ІІІ",Починаючи з 1994 року,28.10.2015-27.10.2020,"ТОВ ""Каховське АТП 16506"", адреса: вул.Мелітопольська, 72, м.Каховка, Херсонська область, 74800, АЕ 420304",2+1
118,Дніпропетровськ,Харків,6605620094050342313,Укртрансбезпека ,21/22,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,11.07.2014-24.02.2019,"ТОВ ""АТП 11231"", адреса: вул. Винокурова, буд.11, м.Дніпропетровськ, 49051, АЕ 421996",1+1
119,Херсон,Миколаїв,7241314070310757630,Укртрансбезпека ,21/22,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2011 року,19.01.2014-18.01.20198,"ТОВ  ""Іксора"" адреса: Бериславське шосе, 11, м.Херсон, 73008, АВ 550452",1+1
120,Дубно,Луцьк,1336254524310454948,Укртрансбезпека ,21/22,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2011 року,22.11.2012-21.11.2017,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1
121,Київ,Коростень,6592077624634029754,Укртрансбезпека ,21/22,щоденно,один ,"М3, ІІІ",Почаниючи з 2008 року,18.11.2011-17.11.2016,"ТОВ ""Автосвіт ЛТД"", адреса:вул.Жовтнева, 50, м.Коростень, Житомирська область, 11500, АД 062473",1+1
122,Ніжин,Полтава,0,Укртрансбезпека ,21/22,Прямий та зворотній рейси виконуються Вівт.Чт.Пт.Суб.Нед.,один ,"М3, ІІІ",,,,1+1
123,Сніжне,Дніпропретровськ,6615705292165841547,Укртрансбезпека ,21/22,щоденно,один ,"М3, ІІІ",Починаючи з 1996 року,28.08.2010-27.08.2015,"ПП ""Авто-Експрес"", адреса: вул.Дзержинського, 44, м.Сніжне, Донецька область, 86500, АВ 523124",2+1
124,Хмельницький,Луцьк,647320623489740720,Укртрансбезпека ,21/22,щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,29.09.2011-28.09.2016,"ТДВ ""Чемеровецьке АТП 16847"", адреса: Гусятинське шосе, 4, смт.Чемерівці, Чемеровецький район, Хмельницька область, 31600, АГ 592524",1+1
125,Коропець,Івано,2048097506055816846,Укртрансбезпека ,21/22,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2004 року,19.02.2015-18.02.2020,"ТОВ ""Бучацьке АТП 16139"", адреса: вул.C.Бандери,  10, м.Бучач, Тернопільська область, 48403, АВ 532596",1+1
126,Чернівці,Снятин,8674762066320692803,Укртрансбезпека ,21/22,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,21.11.2012-20.11.2017,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",1+1
127,Київ,Козацьке,5053225168743633533,Укртрансбезпека ,21/22,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2013 року,21.11.2015-20.11.2020,"ТОВ ""ЛАТК-0777"", адреса: просп. Повітрофлотський, буд. 72, м.Київ, АЕ 573027",1+1
128,Баранівка,Полонее,7053023010232300180,Укртрансбезпека ,21/22,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1991 року,01.07.2015-30.06.2016,"ФОП Курило М.Л., адреса: з-й пров. Житомирський, 4, м.Баранівка, Житомирська область, 12700",1+1
129,Чернівці,Рогатин,942512362803021847,Укртрансбезпека ,23/24,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,21.04.2011-20.04.2016,"ПрАТ ""Рогатинавто"", адреса: вул.Галицька, буд.108, м.Рогатин, Івано-Франківська область, 77000",1+1
130,Кривий Ріг,Бобринець,2335408046958902115,Укртрансбезпека ,23/24,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2012 року,23.09.2015-22.09.2020,"ТОВ ""Аудит-Авто"", адреса: вул.Павлова, 21, м.Дніпропетровськ, АЕ 422908",1+1
131,Запоріжжя,Донецьк,6467125776214151134,Укртрансбезпека ,23/24,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,19.02.2015-18.02.2020,"ФОП Мамедов Д.Г. , адреса: вул. Чайковського, буд. 10 В, м.Селидове, Донецька область, 58400, АЕ 572212",2+1
132,Христинівка,Київ,4215715138530607452,Укртрансбезпека ,23/24,щоденно,один ,"М3, ІІІ",Починаючи з 2011 року,19.08.2015-18.08.2020,"ТОВ ""Круїз-авто"", адреса: вул.Вокзальна,1 Б, м.Умань, Черкаська область, 20300, АГ 593931",1+1
133,Маріуполь,Миколаїв,3238934963575592591,Укртрансбезпека ,23/24,щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,19.05.2014-23.04.2019-паритет,"ФОП Зорін Ю.Є., адреса: вул. Бахчіванджи, буд. 21, кв. 15, м.Маріуполь, Донецька область, 87548, АВ 610976",2+1
134,Рівне,Камінь,1336254524310454948,Укртрансбезпека ,23/24,щоденно,один ,"М3, ІІІ",Починаючи з 2013 року,30.07.2015-29.07.2020,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1
135,Житомир,Київ,5652729031598133104,Укртрансбезпека ,23/24,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2007 року,24.06.2014-23.06.2019,"ТОВ ""Мазар"", адреса: вул. Східна, 88/2, м.Житомир, 10029, АВ 524068",1+1
136,Зачепилівка,Дніпропетровськ,5592405738285507822,Укртрансбезпека ,23/24,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2006 року,16.03.2011-15.03.2016,"ТДВ ""Дніпропетровське АТП-11228"", адреса: вул. Берегова, 210, м.Дніпропетровськ, 49021",1+1
137,Луцьк,Тернопіль,1336254524310454948,Укртрансбезпека ,23/24,щоденно,один ,"М3, ІІІ",Починаючи з 2013 року,25.11.2015-24.11.2020,"ФОП Яцишин М.М. адреса: пр-т Молоді, 8-А, кв.708, м.Луцьк, 43024, АД 062842",1+1
138,Баранівка,Полонее,7053023010232300180,Укртрансбезпека ,23/24,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1991 року,01.07.2015-30.06.2016,"ФОП Курило М.Л., адреса: з-й пров. Житомирський, 4, м.Баранівка, Житомирська область, 12700",1+1
139,Черкаси,Київ,1701725822776566073,Укртрансбезпека ,25/26,щоденно,один ,"М3, ІІІ",Починаючи з 1996 року,11.04.2015-10.04.2020,"ТОВ ""Автолюкс-Черкаси-Плюс"", адреса: вул.Хоменка, кв. 9, м.Черкаси, 18036, АЕ 266758",1+1
140,Запоріжжя,Одеса,224296707656935963,Укртрансбезпека ,25/26,щоденно,один ,"М3, ІІІ",Починаючи з 1991 року,26.03.2015-25.03.2020,"ТОВ ""Турист"", адреса: Гагарінське плато, буд.5, м.Одеса, AД 75984",2+1
141,Монастирище,Київ,4490315838152902305,Укртрансбезпека ,25/26,щоденно,один ,"М3, ІІІ",Починаючи з 2008 року,01.02.2012-31.01.2017,"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",1+1
142,Луцьк,Почаїв,757074836974100260,Укртрансбезпека ,25/26,щоденно,один ,"М2, М3, В, ІІ, ІІІ",Починаючи з 2011 року,25.11.2015-24.11.2020,"ФОП Котельчук С.М., адреса: вул.Васильєва, 9, м.Ківерці, Волинська область, АГ 591929",1+1
143,Вінниця,Київ,414159062351647146,Укртрансбезпека ,25/26,щоденно,один ,"М3, ІІІ",Починаючи з 1986 року,15.09.2011-14.09.2016,"ФОП Лещенко Ю.В., адреса: вул. Папаніна, буд.1, кв. 6, м.Вінниця, 21000, АВ 510237",1+1
144,Зачепилівка,Дніпропетровськ,5592405738285507822,Укртрансбезпека ,25/26,щоденно,один ,"М3, ІІІ",Починаючи з 2006 року,16.03.2011-15.03.2016,"ТДВ ""Дніпропетровське АТП-11228"", адреса: вул. Берегова, 210, м.Дніпропетровськ, 49021",1+1
145,Чернівці,Снятин,8674762066320692803,Укртрансбезпека ,25/26,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 2001 року,21.11.2012-20.11.2017,"ТДВ ""Денисівка"", адреса: вул.М.Тореза, 64-Б, м.Чернівці, 58007, АГ 587966",1+1
146,Запоріжжя,Луганськ,0,Укртрансбезпека ,25/26,щоденно,один ,"М3, ІІІ",,,,2+1
147,Баранівка,Полонее,7053023010232300180,Укртрансбезпека ,25/26,щоденно,один ,"М2, М3, В, І, ІІ, ІІІ",Починаючи з 1991 року,01.07.2015-30.06.2016,"ФОП Курило М.Л., адреса: з-й пров. Житомирський, 4, м.Баранівка, Житомирська область, 12700",1+1
148,Краматорськ,Ялта,0,Укртрансбезпека ,27/28,В період з 01.06. по 31.10. щоденно,один ,"М3, ІІІ",,,,2+1
149,Бурштин,Львів,93697433665397999,Укртрансбезпека ,27/28,щоденно,один ,"М2, М3, В, ІІІ",Починаючи з 2007 року,18.02.2014-17.02.2019,"ФОП Луців В.М., адреса: пл.Роксолани, 30-А, кв.2,, м.Рогатин, Івано-Франківська область, 77000, АД 076568",1+1
150,Затока,Одеса,1278771540288988841,Укртрансбезпека ,27/28,В період з 15.05 по 05.11 щоденно,один ,"М3, ІІІ",Починаючи з 1998 року,05.07.2014-04.07.2019 - паритет,"ТОВ  ""Хмельницьктранс"", адреса: вул.Пилипчука, 6, м.Хмельницький, 29000, АЕ 422956",2+1
151,Київ,Монастирище,4490315838152902305,Укртрансбезпека ,27/28,щоденно,один ,"М3, ІІІ",Починаючи з 2007 року,01.02.2012-31.01.2017,"ПрАТ ""Монастирищенське АТП 17140"", адреса: вул.Леніна, 173, м.Монастирище, Черкаська область, 19100, АГ 587259",1+1
